Watchlist '6month '

6month 
Symbol,Last,Net Chng,Bid,Ask,Sector,Dollar_Volume
SNDK,626.56,-3.73,629.90,630.50,Information Technology,1.475375052561E10
INTC,46.79,+.31,46.62,46.63,Information Technology,3.26357544683E9
LITE,562.74,-20.72,546.10,549.00,Information Technology,2.80134080982E9
LRCX,235.53,+4.24,234.75,235.37,Information Technology,2.3496300936E9
NBIS,98.01,+8.28,97.05,97.20,Information Technology,1.97432330767E9
FSLY,18.26,+2.22,18.40,18.49,Information Technology,9.9545321745E8
CIEN,303.92,+10.96,300.50,303.79,Information Technology,9.1006972871E8
COHR,217.23,+1.13,216.00,216.50,Information Technology,8.8630303811E8
APLD,35.28,-.89,35.02,35.03,Information Technology,7.9947616987E8
WULF,16.26,+.35,16.20,16.27,Information Technology,7.095619044E8
MRNA,42.23,+2.12,42.27,42.35,Health Care,7.0112984208E8
AMKR,47.48,-4.11,47.50,47.78,Information Technology,6.1444343036E8
MPWR,1171.47,+15.54,1171.47,1173.15,Information Technology,5.0681066358E8
SATS,113.15,+2.64,112.66,113.81,Communication Services,4.8208027017E8
MKSI,260.74,+11.32,258.50,261.89,Information Technology,4.3378960608E8
ONTO,217.23,+2.52,212.08,225.50,Information Technology,4.0736907691E8
PAAS,57.93,+3.34,57.78,57.87,Materials,3.8752932679E8
ENTG,131.43,+.53,130.50,136.00,Information Technology,3.7216842117E8
SCCO,198.00,+.15,196.50,199.98,Materials,3.2481324199E8
MTSI,244.16,+5.17,236.56,247.49,Information Technology,3.0745636718E8
AEIS,314.27,+1.32,311.90,318.00,Information Technology,2.8011848776E8
DOCN,68.16,+4.38,67.75,70.50,Information Technology,2.6879459798E8
IBRX,5.945,-.675,6.07,6.10,Health Care,2.5942598425E8
FTAI,279.85,+5.02,257.70,280.00,Industrials,2.571128554E8
PSTG,73.85,+3.04,73.00,74.10,Information Technology,2.4403709134E8
CENX,46.04,-3.66,45.75,45.95,Materials,2.3272281196E8
STRL,437.77,+6.34,433.35,440.00,Industrials,2.298397192E8
LBRT,25.90,+1.13,25.70,25.90,Energy,2.1804153204E8
LSCC,97.63,-2.165,96.25,97.68,Information Technology,2.1536002419E8
ENPH,43.49,-.65,43.27,43.59,Information Technology,2.0857053866E8
IPGP,153.91,+3.66,149.96,158.99,Information Technology,2.0244697148E8
TSEM,128.74,-4.84,127.00,128.70,,1.9482541593E8
UUUU,20.72,-.58,20.70,20.75,Energy,1.8791525793E8
SITM,420.23,-2.97,410.60,431.00,Information Technology,1.841559665E8
NVMI,443.76,+.21,436.02,462.00,Information Technology,1.6640515974E8
NKTR,71.33,+.33,71.50,73.00,Health Care,1.6132128041E8
SSRM,28.11,+2.18,27.72,28.09,Materials,1.55405662E8
CORZ,17.84,+.36,17.84,17.90,Information Technology,1.4889333889E8
FORM,96.73,+3.05,95.86,106.22,Information Technology,1.3785380458E8
VIAV,26.29,-.21,26.01,26.44,Information Technology,1.3577143011E8
HYMC,35.55,+2.45,35.50,35.89,Materials,1.3470642633E8
TTMI,91.80,-.53,91.00,93.00,Information Technology,1.3403888653E8
LUMN,8.39,+.39,8.35,8.39,Communication Services,1.241630406E8
AAOI,44.46,+.47,44.23,44.46,Information Technology,1.2290852716E8
IDCC,375.01,+18.18,330.00,374.50,Information Technology,1.2179309996E8
VSAT,48.85,+2.22,49.02,49.28,Information Technology,1.0934816448E8
IESC,518.16,+22.67,501.78,524.00,Industrials,1.0869833907E8
PRAX,317.25,-15.67,300.00,324.55,Health Care,1.0793866664E8
COHU,30.60,-2.20,30.16,30.59,Information Technology,1.0631416855E8
VNET,13.80,-.23,13.84,13.90,Information Technology,1.0495549181E8
PSIX,98.77,+6.05,98.80,100.00,Industrials,1.0295680908E8
POWL,585.07,-7.83,582.00,596.00,Industrials,1.0074982017E8
AXTI,24.24,-.55,24.15,24.40,Information Technology,9.142117737E7
ACMR,64.84,+.74,63.50,65.80,Information Technology,8.981774791E7
UCTT,55.39,+2.93,55.50,57.00,Information Technology,8.886679222E7
VICR,155.96,-8.33,154.25,157.50,Industrials,8.804560303E7
SBSW,17.23,+1.20,17.17,17.35,Materials,8.352301368E7
VSCO,58.54,+1.60,57.61,59.75,Consumer Discretionary,7.482917693E7
SMTC,87.115,+.585,86.35,90.00,Information Technology,7.357097883E7
CAMT,162.00,+6.62,160.00,162.00,Information Technology,7.149262821E7
SYNA,90.81,-1.26,90.75,92.61,Information Technology,7.087347347E7
SIMO,136.28,-2.07,135.35,136.99,Information Technology,6.940128721E7
RCAT,11.37,+.12,11.34,11.39,Industrials,6.86589583E7
ALGM,42.38,+.55,41.63,43.61,Information Technology,6.677979316E7
UAMY,7.62,+.23,7.61,7.72,Materials,6.480796046E7
ICHR,46.77,+2.84,46.68,47.69,Information Technology,6.439459612E7
SEDG,35.53,+1.12,35.27,35.75,Information Technology,6.007957337E7
LASR,52.28,-.15,49.70,53.00,Information Technology,5.848155165E7
PUMP,12.02,+.75,10.88,12.56,Energy,5.766136784E7
AUGO,72.36,+3.43,71.50,73.10,Materials,5.697788454E7
ARRY,11.16,+.47,11.01,11.15,Industrials,5.326938072E7
ESTA,74.60,+1.06,67.00,78.01,Health Care,5.317390537E7
TWST,49.11,+1.45,48.00,49.08,Health Care,5.216239631E7
ALGT,111.30,+2.02,85.00,114.41,Industrials,5.169852904E7
SYRE,36.63,+1.79,36.39,42.14,Health Care,4.871218815E7
PLAB,38.80,+1.50,38.15,38.80,Information Technology,4.684800152E7
USAS,7.53,+.35,7.42,7.45,Materials,4.268987575E7
LQDA,38.20,-.84,38.20,41.38,Health Care,4.076030518E7
AEHR,28.84,+.95,28.80,29.71,Information Technology,4.030127575E7
ERAS,12.00,-.31,12.05,12.36,Health Care,3.897504293E7
PCVX,54.10,-.85,54.10,70.00,Health Care,3.819713426E7
TROX,7.85,-.01,7.68,8.03,Materials,3.710170888E7
BORR,5.64,+.14,5.55,5.69,Energy,3.576623684E7
ALMS,26.54,-.26,26.55,27.08,Health Care,3.389467304E7
CGAU,18.85,+1.03,18.05,19.35,Materials,3.289247964E7
ANAB,53.08,-1.82,53.08,58.00,Health Care,3.202168195E7
SGML,13.35,+.16,13.00,13.50,Materials,3.185259082E7
DIOD,71.07,-1.01,65.00,84.00,Information Technology,3.126527653E7
LPTH,11.52,-.96,11.52,11.62,Information Technology,3.10379354E7
TNGX,12.90,+.23,12.79,13.44,Health Care,3.092454396E7
SKYT,29.23,+.82,29.15,29.27,Information Technology,3.02994824E7
BIOA,19.57,-.37,19.00,21.20,Health Care,2.831917788E7
EWTX,30.01,-.36,27.28,31.20,Health Care,2.793645163E7
ARMN,19.49,+.96,19.10,19.80,Materials,2.67683004E7
DFTX,15.75,-.48,15.61,17.02,Health Care,2.560943935E7
SHLS,10.24,+.58,10.15,10.26,Industrials,2.503293371E7
ORLA,17.39,+1.29,17.35,17.50,Materials,2.415643796E7
GPRE,13.70,-.22,13.17,13.67,Energy,2.385660137E7
VSTS,7.70,-.53,7.50,8.37,Industrials,2.280426382E7
ATEX,31.89,+2.62,29.07,32.50,Communication Services,2.171900869E7
DNTH,47.40,-.08,46.00,48.51,Health Care,2.150427535E7
GLTO,29.12,-.91,27.66,30.03,Health Care,2.126666978E7
BNAI,20.92,-.50,20.37,20.62,Information Technology,2.095088968E7
BLTE,175.26,+.65,168.76,179.78,Health Care,2.066088081E7
ASTI,6.23,-.30,6.30,6.39,Information Technology,2.020026016E7
CTMX,5.32,-.11,5.35,5.50,Health Care,2.007042409E7
MAZE,46.01,-1.03,46.25,48.50,Health Care,1.980072758E7
KPTI,8.58,-.36,8.60,8.97,Health Care,1.943226911E7
DAWN,11.35,+.35,11.30,12.25,Health Care,1.932070529E7
CRVS,18.66,-.10,18.60,19.46,Health Care,1.897906369E7
RLAY,8.93,+.12,8.93,9.47,Health Care,1.872589998E7
PDFS,33.69,+1.58,33.35,35.25,Information Technology,1.695862961E7
CMPX,6.28,-.06,6.23,6.25,Health Care,1.603950879E7
ULCC,5.35,+.105,5.32,5.57,Industrials,1.533275678E7
KMTS,26.92,-.54,21.50,28.20,Health Care,1.456872954E7
AMRC,32.68,-.61,32.20,40.00,Industrials,1.430154732E7
TYRA,27.99,-1.20,27.20,32.10,Health Care,1.382283887E7
CMCO,20.33,-.865,20.25,24.40,Industrials,1.352974746E7
BH/A,2021.30,-10.48,1600.00,3248.26,Consumer Discretionary,1.22094159E7
ELVN,26.72,-.44,26.30,28.60,Health Care,1.184256469E7
ISSC,19.83,-.94,19.00,21.80,Industrials,1.000813613E7
